Distancia;Nelder-Mead;Powell;CG;BFGS;L-BFGS-B;TNC;COBYLA;SLSQP;Exacto
0.5;-0.3122698991;-0.3122699004;-0.3122699004;-0.3122699004;-0.3122699004;-0.3122699002;-0.3122699004;-0.3122698999;
0.6;-0.6018037085;-0.6018037089;-0.6018037089;-0.6018037089;-0.6018037089;-0.6018037089;-0.6018037089;-0.6018037077;
0.7;-0.7892692483;-0.7892693909;-0.7892693910;-0.7892693910;-0.7892693910;-0.7892693910;-0.7892693909;-0.7892693888;
0.8;-0.9141497028;-0.9141497035;-0.9141497035;-0.9141497035;-0.9141497035;-0.9141497035;-0.9141497035;-0.9141497005;
0.9;-0.9984155938;-0.9984155952;-0.9984155952;-0.9984155952;-0.9984155952;-0.9984155952;-0.9984155952;-0.9984155917;
1.0;-1.0551597926;-1.0551597939;-1.0551597939;-1.0551597939;-1.0551597939;-1.0551597939;-1.0551597939;-1.0551597909;
1.1;-1.0926299046;-1.0926299064;-1.0926299064;-1.0926299064;-1.0926299064;-1.0926299064;-1.0926299064;-1.0926299050;
1.2;-1.1162860055;-1.1162860067;-1.1162860067;-1.1162860067;-1.1162860067;-1.1162860066;-1.1162860067;-1.1162859534;
1.3;-1.1299047828;-1.1299047843;-1.1299047843;-1.1299047843;-1.1299047843;-1.1299047843;-1.1299047843;-1.1299047798;
1.4;-1.1361894496;-1.1361894542;-1.1361894542;-1.1361894542;-1.1361894542;-1.1361894542;-1.1361894542;-1.1361894251;
1.5;-1.1371170674;-1.1371170676;-1.1371170676;-1.1371170676;-1.1371170676;-1.1371170672;-1.1371170676;-1.1371169625;
1.6;-1.1341476661;-1.1341476670;-1.1341476670;-1.1341476670;-1.1341476670;-1.1341476670;-1.1341476670;-1.1341473715;
1.7;-1.1283618783;-1.1283618789;-1.1283618789;-1.1283618789;-1.1283618789;-1.1283618789;-1.1283618789;-1.1283618789;
1.8;-1.1205602816;-1.1205602818;-1.1205602818;-1.1205602818;-1.1205602818;-1.1205602818;-1.1205602818;-1.1205602818;
1.9;-1.1113394178;-1.1113394183;-1.1113394183;-1.1113394183;-1.1113394183;-1.1113394183;-1.1113394183;-1.1113394183;
2.0;-1.1011503307;-1.1011503309;-1.1011503309;-1.1011503309;-1.1011503309;-1.1011503241;-1.1011503309;-1.1011503308;