,step,energy,p0,p1,p2,p3,p4,p5,p6,p7,p8
0,0,-0.8954556840624337,2.49,0.63,1.43,0.38,1.51,0.93,1.93,2.56,2.01
1,1,-0.9612414993788032,2.300098760653757,0.63,1.43,0.38,1.51,0.93,1.9697680370447537,2.56,2.01
2,2,-0.9739122046415396,2.2206631882316,0.63,1.43,0.38,1.51,0.93,1.989185781364032,2.56,2.01
3,3,-0.9775651196641262,2.180509014821839,0.63,1.43,0.38,1.51,0.93,2.004881668356479,2.56,2.01
4,4,-0.9789305498187065,2.159799828894419,0.63,1.43,0.38,1.51,0.93,2.0198084379237873,2.56,2.01
5,5,-0.9796961353040271,2.149206961755295,0.63,1.43,0.38,1.51,0.93,2.0346694111196206,2.56,2.01
6,6,-0.9803128865594094,2.143782208531073,0.63,1.43,0.38,1.51,0.93,2.049619644755907,2.56,2.01
7,7,-0.980897504123532,2.1409506733324983,0.63,1.43,0.38,1.51,0.93,2.064681513710678,2.56,2.01
8,8,-0.9814793302982614,2.139409928004159,0.63,1.43,0.38,1.51,0.93,2.079850438508778,2.56,2.01
9,9,-0.9820655843695465,2.1385103837197135,0.63,1.43,0.38,1.51,0.93,2.09511880302771,2.56,2.01
10,10,-0.9826579292683773,2.1379287075811697,0.63,1.43,0.38,1.51,0.93,2.1104800716299414,2.56,2.01
11,11,-0.9832566120764452,2.1375030913766584,0.63,1.43,0.38,1.51,0.93,2.125928824044085,2.56,2.01
12,12,-0.9838615002900877,2.13715175651342,0.63,1.43,0.38,1.51,0.93,2.1414602551464075,2.56,2.01
13,13,-0.9844723436833858,2.13683281988078,0.63,1.43,0.38,1.51,0.93,2.157069786503994,2.56,2.01
14,14,-0.9850888410838123,2.1365244617488264,0.63,1.43,0.38,1.51,0.93,2.1727528302280334,2.56,2.01
15,15,-0.985710657312922,2.1362150525769845,0.63,1.43,0.38,1.51,0.93,2.1885046549250315,2.56,2.01
16,16,-0.9863374272641462,2.1358981909574064,0.63,1.43,0.38,1.51,0.93,2.2043203107139,2.56,2.01
17,17,-0.986968756699733,2.1355701835658967,0.63,1.43,0.38,1.51,0.93,2.2201945869721027,2.56,2.01
18,18,-0.9876042223003829,2.13522875129693,0.63,1.43,0.38,1.51,0.93,2.2361219882035424,2.56,2.01
19,19,-0.9882433716552431,2.1348723575978528,0.63,1.43,0.38,1.51,0.93,2.252096720229897,2.56,2.01
20,20,-0.9888857233891344,2.134499855978885,0.63,1.43,0.38,1.51,0.93,2.2681126826168265,2.56,2.01
21,21,-0.9895307674917666,2.1341103030817195,0.63,1.43,0.38,1.51,0.93,2.2841634652219764,2.56,2.01
22,22,-0.9901779658777463,2.133702858600913,0.63,1.43,0.38,1.51,0.93,2.300242347796694,2.56,2.01
23,23,-0.9908267531958418,2.133276731301737,0.63,1.43,0.38,1.51,0.93,2.316342302125692,2.56,2.01
24,24,-0.9914765379021714,2.1328311498049373,0.63,1.43,0.38,1.51,0.93,2.3324559964803533,2.56,2.01
25,25,-0.9921267036094549,2.132365346858208,0.63,1.43,0.38,1.51,0.93,2.3485758023135257,2.56,2.01
26,26,-0.9927766107218376,2.1318785510669653,0.63,1.43,0.38,1.51,0.93,2.3646938032003253,2.56,2.01
27,27,-0.9934255983617546,2.131369982830955,0.63,1.43,0.38,1.51,0.93,2.3808018060641887,2.56,2.01
28,28,-0.9940729865916459,2.1308388527128965,0.63,1.43,0.38,1.51,0.93,2.3968913547380635,2.56,2.01
29,29,-0.9947180789292731,2.1302843612623876,0.63,1.43,0.38,1.51,0.93,2.412953745906735,2.56,2.01
30,30,-0.9953601651507864,2.129705699751547,0.63,1.43,0.38,1.51,0.93,2.4289800474630754,2.56,2.01
31,31,-0.9959985243707579,2.129102051516375,0.63,1.43,0.38,1.51,0.93,2.4449611192913867,2.56,2.01
32,32,-0.9966324283831568,2.1284725937288975,0.63,1.43,0.38,1.51,0.93,2.460887636466742,2.56,2.01
33,33,-0.9972611452417881,2.1278164994978384,0.63,1.43,0.38,1.51,0.93,2.4767501148314324,2.56,2.01
34,34,-0.9978839430532184,2.1271329402359034,0.63,1.43,0.38,1.51,0.93,2.492538938879139,2.56,2.01
35,35,-0.9985000939497689,2.1264210882539967,0.63,1.43,0.38,1.51,0.93,2.508244391844999,2.56,2.01
36,36,-0.9991088782049273,2.12568011955478,0.63,1.43,0.38,1.51,0.93,2.5238566878660174,2.56,2.01
37,37,-0.99970958844869,2.124909216804322,0.63,1.43,0.38,1.51,0.93,2.5393660060419867,2.56,2.01
38,38,-1.0003015339359975,2.1241075724636893,0.63,1.43,0.38,1.51,0.93,2.5547625261929663,2.56,2.01
39,39,-1.0008840448178504,2.1232743920636423,0.63,1.43,0.38,1.51,0.93,2.5700364660761976,2.56,2.01
40,40,-1.0014564763618696,2.1224088976059656,0.63,1.43,0.38,1.51,0.93,2.5851781197939068,2.56,2.01
41,41,-1.0020182130672985,2.121510331074824,0.63,1.43,0.38,1.51,0.93,2.6001778970945395,2.56,2.01
42,42,-1.002568672618713,2.120577958041263,0.63,1.43,0.38,1.51,0.93,2.6150263632444086,2.56,2.01
43,43,-1.003107309623189,2.1196110713436442,0.63,1.43,0.38,1.51,0.93,2.6297142791252086,2.56,2.01
44,44,-1.003633619077365,2.1186089948265527,0.63,1.43,0.38,1.51,0.93,2.6442326411960986,2.56,2.01
45,45,-1.0041471395137747,2.117571087120606,0.63,1.43,0.38,1.51,0.93,2.6585727209475998,2.56,2.01
46,46,-1.004647455779963,2.1164967454455543,0.63,1.43,0.38,1.51,0.93,2.672726103468926,2.56,2.01
47,47,-1.0051342014091922,2.1153854094191478,0.63,1.43,0.38,1.51,0.93,2.6866847247508447,2.56,2.01
48,48,-1.005607060547855,2.114236564854398,0.63,1.43,0.38,1.51,0.93,2.700440907352992,2.56,2.01
49,49,-1.0060657694119366,2.1130497475279975,0.63,1.43,0.38,1.51,0.93,2.7139873940776766,2.56,2.01
50,50,-1.00651011725272,2.1118245469027843,0.63,1.43,0.38,1.51,0.93,2.7273173793115544,2.56,2.01
51,51,-1.006939946820404,2.110560609787137,0.63,1.43,0.38,1.51,0.93,2.74042453772169,2.56,2.01
52,52,-1.0073551543228936,2.109257643914043,0.63,1.43,0.38,1.51,0.93,2.75330305002309,2.56,2.01
53,53,-1.0077556888857837,2.107915421422202,0.63,1.43,0.38,1.51,0.93,2.7659476255700595,2.56,2.01
54,54,-1.0081415515280556,2.1065337822209353,0.63,1.43,0.38,1.51,0.93,2.778353521563013,2.56,2.01
55,55,-1.0085127936760194,2.105112637219753,0.63,1.43,0.38,1.51,0.93,2.7905165587047804,2.56,2.01
56,56,-1.0088695152455551,2.1036519714022592,0.63,1.43,0.38,1.51,0.93,2.802433133185075,2.56,2.01
57,57,-1.009211862329269,2.102151846722605,0.63,1.43,0.38,1.51,0.93,2.81410022491766,2.56,2.01
58,58,-1.0095400245308115,2.1006124048009895,0.63,1.43,0.38,1.51,0.93,2.825515402000914,2.56,2.01
59,59,-1.0098542319931976,2.099033869392792,0.63,1.43,0.38,1.51,0.93,2.8366768214179947,2.56,2.01
60,60,-1.0101547521713024,2.0974165486039036,0.63,1.43,0.38,1.51,0.93,2.8475832260367353,2.56,2.01
61,61,-1.010441886400927,2.0957608368227794,0.63,1.43,0.38,1.51,0.93,2.8582339380110193,2.56,2.01
62,62,-1.0107159663177723,2.094067216337783,0.63,1.43,0.38,1.51,0.93,2.8686288487238953,2.56,2.01
63,63,-1.0109773501795247,2.0923362586066876,0.63,1.43,0.38,1.51,0.93,2.878768405447582,2.56,2.01
64,64,-1.0112264191429599,2.090568625143851,0.63,1.43,0.38,1.51,0.93,2.888653594926293,2.56,2.01
65,65,-1.0114635735457511,2.0887650679897716,0.63,1.43,0.38,1.51,0.93,2.8982859241141585,2.56,2.01
66,66,-1.0116892292395407,2.086926429727577,0.63,1.43,0.38,1.51,0.93,2.907667398322266,2.56,2.01
67,67,-1.0119038140170282,2.0850536430116797,0.63,1.43,0.38,1.51,0.93,2.916800497045881,2.56,2.01
68,68,-1.0121077641714007,2.0831477295754164,0.63,1.43,0.38,1.51,0.93,2.925688147755371,2.56,2.01
69,69,-1.0123015212216255,2.081209798687164,0.63,1.43,0.38,1.51,0.93,2.934333697942289,2.56,2.01
70,70,-1.0124855288319774,2.0792410450281804,0.63,1.43,0.38,1.51,0.93,2.942740885715848,2.56,2.01
71,71,-1.0126602299489909,2.0772427459703713,0.63,1.43,0.38,1.51,0.93,2.9509138092448293,2.56,2.01
72,72,-1.012826064173734,2.0752162582382887,0.63,1.43,0.38,1.51,0.93,2.958856895336253,2.56,2.01
73,73,-1.0129834653821823,2.0731630139469237,0.63,1.43,0.38,1.51,0.93,2.9665748674352574,2.56,2.01
74,74,-1.013132859601565,2.0710845160151385,0.63,1.43,0.38,1.51,0.93,2.9740727133209823,2.56,2.01
75,75,-1.0132746631459422,2.068982332963801,0.63,1.43,0.38,1.51,0.93,2.9813556527612626,2.56,2.01
76,76,-1.0134092810099968,2.0668580931176264,0.63,1.43,0.38,1.51,0.93,2.988429105374949,2.56,2.01
77,77,-1.0135371055162594,2.064713478240187,0.63,1.43,0.38,1.51,0.93,2.9952986589351114,2.56,2.01
78,78,-1.013658515207543,2.062550216642266,0.63,1.43,0.38,1.51,0.93,3.0019700383294974,2.56,2.01
79,79,-1.0137738739735604,2.0603700758143955,0.63,1.43,0.38,1.51,0.93,3.008449075376807,2.56,2.01
80,80,-1.013883530398215,2.058174854644742,0.63,1.43,0.38,1.51,0.93,3.014741679678759,2.56,2.01
81,81,-1.013987817312215,2.0559663752931394,0.63,1.43,0.38,1.51,0.93,3.0208538106688754,2.56,2.01
82,82,-1.014087051534177,2.053746474800716,0.63,1.43,0.38,1.51,0.93,3.0267914509995584,2.56,2.01
83,83,-1.01418153378239,2.051516996521892,0.63,1.43,0.38,1.51,0.93,3.0325605813895176,2.56,2.01
84,84,-1.014271548738871,2.049279781471297,0.63,1.43,0.38,1.51,0.93,3.0381671570341364,2.56,2.01
85,85,-1.0143573652471223,2.0470366596820804,0.63,1.43,0.38,1.51,0.93,3.043617085662006,2.56,2.01
86,86,-1.0144392366252035,2.0447894416740495,0.63,1.43,0.38,1.51,0.93,3.048916207301777,2.56,2.01
87,87,-1.014517401076153,2.042539910129889,0.63,1.43,0.38,1.51,0.93,3.054070275804778,2.56,2.01
88,88,-1.0145920821785972,2.04028981187539,0.63,1.43,0.38,1.51,0.93,3.059084942150649,2.56,2.01
89,89,-1.0146634894412783,2.038040850255148,0.63,1.43,0.38,1.51,0.93,3.0639657395456545,2.56,2.01
90,90,-1.0147318189063894,2.0357946779886786,0.63,1.43,0.38,1.51,0.93,3.068718070306528,2.56,2.01
91,91,-1.0147972537878862,2.033552890583542,0.63,1.43,0.38,1.51,0.93,3.0733471945067423,2.56,2.01
92,92,-1.0148599651322499,2.031317020372067,0.63,1.43,0.38,1.51,0.93,3.077858220347175,2.56,2.01
93,93,-1.014920112490608,2.0290885312269467,0.63,1.43,0.38,1.51,0.93,3.0822560961993473,2.56,2.01
94,94,-1.014977844592549,2.0268688139986266,0.63,1.43,0.38,1.51,0.93,3.0865456042568917,2.56,2.01
95,95,-1.0150333000133085,2.0246591827044704,0.63,1.43,0.38,1.51,0.93,3.090731355719768,2.56,2.01
96,96,-1.015086607827417,2.022460871486426,0.63,1.43,0.38,1.51,0.93,3.0948177874260887,2.56,2.01
97,97,-1.0151378882431377,2.020275032340801,0.63,1.43,0.38,1.51,0.93,3.0988091598383014,2.56,2.01
98,98,-1.0151872532132393,2.0181027336110975,0.63,1.43,0.38,1.51,0.93,3.102709556284002,2.56,2.01
99,99,-1.0152348070187203,2.0159449592229577,0.63,1.43,0.38,1.51,0.93,3.106522883346777,2.56,2.01
100,100,-1.0152806468231093,2.0138026086294656,0.63,1.43,0.38,1.51,0.93,3.1102528722992546,2.56,2.01
101,101,-1.0153248631957799,2.011676497425515,0.63,1.43,0.38,1.51,0.93,3.1139030814689024,2.56,2.01
102,102,-1.0153675406035456,2.0095673585818874,0.63,1.43,0.38,1.51,0.93,3.11747689942701,2.56,2.01
103,103,-1.0154087578703208,2.0074758442431997,0.63,1.43,0.38,1.51,0.93,3.1209775488926104,2.56,2.01
104,104,-1.015448588605275,2.0054025280290078,0.63,1.43,0.38,1.51,0.93,3.124408091245741,2.56,2.01
105,105,-1.0154871016002225,2.003347907774123,0.63,1.43,0.38,1.51,0.93,3.1277714315482563,2.56,2.01
106,106,-1.015524361197372,2.0013124086425265,0.63,1.43,0.38,1.51,0.93,3.131070323975236,2.56,2.01
107,107,-1.0155604276288017,1.9992963865490636,0.63,1.43,0.38,1.51,0.93,3.1343073775657153,2.56,2.01
108,108,-1.0155953573291483,1.9973001318242485,0.63,1.43,0.38,1.51,0.93,3.1374850622078316,2.56,2.01
109,109,-1.01562920322315,1.995323873059814,0.63,1.43,0.38,1.51,0.93,3.1406057147803423,2.56,2.01
110,110,-1.0156620149897053,1.993367781075949,0.63,1.43,0.38,1.51,0.93,3.1436715453796804,2.56,2.01
111,111,-1.0156938393041324,1.9914319729552845,0.63,1.43,0.38,1.51,0.93,3.1466846435690945,2.56,2.01
112,112,-1.0157247200602768,1.989516516093408,0.63,1.43,0.38,1.51,0.93,3.149646984593838,2.56,2.01
113,113,-1.0157546985740717,1.9876214322208416,0.63,1.43,0.38,1.51,0.93,3.1525604355136787,2.56,2.01
114,114,-1.0157838137700796,1.985746701356831,0.63,1.43,0.38,1.51,0.93,3.1554267612110984,2.56,2.01
115,115,-1.015812102352461,1.9838922656607916,0.63,1.43,0.38,1.51,0.93,3.158247630240336,2.56,2.01
116,116,-1.0158395989617237,1.9820580331527164,0.63,1.43,0.38,1.51,0.93,3.16102462048881,2.56,2.01
117,117,-1.0158663363185068,1.9802438812791445,0.63,1.43,0.38,1.51,0.93,3.1637592246283925,2.56,2.01
118,118,-1.0158923453555764,1.978449660306317,0.63,1.43,0.38,1.51,0.93,3.1664528553394566,2.56,2.01
119,119,-1.0159176553390605,1.9766751965268456,0.63,1.43,0.38,1.51,0.93,3.1691068502955297,2.56,2.01
120,120,-1.01594229397994,1.9749202952705105,0.63,1.43,0.38,1.51,0.93,3.171722476900778,2.56,2.01
121,121,-1.015966287536654,1.973184743713675,0.63,1.43,0.38,1.51,0.93,3.174300936776406,2.56,2.01
122,122,-1.0159896609096313,1.9714683134852249,0.63,1.43,0.38,1.51,0.93,3.1768433699953933,2.56,2.01
123,123,-1.0160124377284712,1.9697707630698942,0.63,1.43,0.38,1.51,0.93,3.179350859067835,2.56,2.01
124,124,-1.0160346404324356,1.9680918400123624,0.63,1.43,0.38,1.51,0.93,3.181824432681521,2.56,2.01
125,125,-1.0160562903448538,1.9664312829275845,0.63,1.43,0.38,1.51,0.93,3.1842650692043435,2.56,2.01
126,126,-1.0160774077419528,1.9647888233245052,0.63,1.43,0.38,1.51,0.93,3.1866736999566427,2.56,2.01
127,127,-1.016098011916629,1.9631641872516037,0.63,1.43,0.38,1.51,0.93,3.189051212262802,2.56,2.01
128,128,-1.0161181212375698,1.9615570967736937,0.63,1.43,0.38,1.51,0.93,3.1913984522922543,2.56,2.01
129,129,-1.0161377532041291,1.9599672712900673,0.63,1.43,0.38,1.51,0.93,3.1937162277006537,2.56,2.01
130,130,-1.0161569244973274,1.958394428704471,0.63,1.43,0.38,1.51,0.93,3.196005310082299,2.56,2.01
131,131,-1.0161756510272695,1.9568382864575828,0.63,1.43,0.38,1.51,0.93,3.198266437245036,2.56,2.01
132,132,-1.016193947977289,1.9552985624326398,0.63,1.43,0.38,1.51,0.93,3.200500315318832,2.56,2.01
133,133,-1.0162118298450924,1.953774975744695,0.63,1.43,0.38,1.51,0.93,3.202707620709025,2.56,2.01
134,134,-1.0162293104811206,1.9522672474236793,0.63,1.43,0.38,1.51,0.93,3.2048890019049785,2.56,2.01
135,135,-1.0162464031243497,1.9507751010010457,0.63,1.43,0.38,1.51,0.93,3.2070450811544777,2.56,2.01
136,136,-1.0162631204357537,1.949298263009295,0.63,1.43,0.38,1.51,0.93,3.2091764560137666,2.56,2.01
137,137,-1.0162794745295738,1.947836463403165,0.63,1.43,0.38,1.51,0.93,3.211283700782635,2.56,2.01
138,138,-1.016295477002581,1.9463894359106884,0.63,1.43,0.38,1.51,0.93,3.2133673678334396,2.56,2.01
139,139,-1.0163111389614816,1.9449569183217632,0.63,1.43,0.38,1.51,0.93,3.215427988842409,2.56,2.01
140,140,-1.0163264710485893,1.9435386527212861,0.63,1.43,0.38,1.51,0.93,3.217466075931038,2.56,2.01
141,141,-1.0163414834659008,1.9421343856733249,0.63,1.43,0.38,1.51,0.93,3.219482122724838,2.56,2.01
142,142,-1.016356185997697,1.940743868362244,0.63,1.43,0.38,1.51,0.93,3.221476605336187,2.56,2.01
143,143,-1.0163705880317515,1.9393668566961582,0.63,1.43,0.38,1.51,0.93,3.2234499832775043,2.56,2.01
144,144,-1.016384698579267,1.9380031113775693,0.63,1.43,0.38,1.51,0.93,3.2254027003105006,2.56,2.01
145,145,-1.0163985262936246,1.9366523979455654,0.63,1.43,0.38,1.51,0.93,3.2273351852367744,2.56,2.01
146,146,-1.0164120794880056,1.9353144867934933,0.63,1.43,0.38,1.51,0.93,3.229247852634605,2.56,2.01
147,147,-1.0164253661520077,1.9339891531656104,0.63,1.43,0.38,1.51,0.93,3.2311411035463693,2.56,2.01
148,148,-1.0164383939672694,1.9326761771358212,0.63,1.43,0.38,1.51,0.93,3.2330153261206327,2.56,2.01
149,149,-1.0164511703222185,1.9313753435712553,0.63,1.43,0.38,1.51,0.93,3.2348708962126174,2.56,2.01
150,150,-1.0164637023259668,1.9300864420831179,0.63,1.43,0.38,1.51,0.93,3.2367081779464124,2.56,2.01
151,151,-1.0164759968214288,1.928809266966947,0.63,1.43,0.38,1.51,0.93,3.238527524241998,2.56,2.01
152,152,-1.016488060397701,1.9275436171341545,0.63,1.43,0.38,1.51,0.93,3.2403292773098817,2.56,2.01
153,153,-1.0164998994017613,1.926289296036481,0.63,1.43,0.38,1.51,0.93,3.242113769115884,2.56,2.01
154,154,-1.0165115199495307,1.9250461115847906,0.63,1.43,0.38,1.51,0.93,3.243881321818395,2.56,2.01
155,155,-1.016522927936312,1.923813876063436,0.63,1.43,0.38,1.51,0.93,3.2456322481801996,2.56,2.01
156,156,-1.016534129046701,1.9225924060412576,0.63,1.43,0.38,1.51,0.93,3.247366851956794,2.56,2.01
157,157,-1.0165451287639353,1.9213815222801343,0.63,1.43,0.38,1.51,0.93,3.2490854282629353,2.56,2.01
158,158,-1.0165559323787663,1.9201810496418696,0.63,1.43,0.38,1.51,0.93,3.2507882639190115,2.56,2.01
159,159,-1.0165665449978623,1.918990816994082,0.63,1.43,0.38,1.51,0.93,3.252475637778685,2.56,2.01
160,160,-1.0165769715517732,1.917810657115667,0.63,1.43,0.38,1.51,0.93,3.254147821039129,2.56,2.01
161,161,-1.0165872168024828,1.9166404066023137,0.63,1.43,0.38,1.51,0.93,3.2558050775350615,2.56,2.01
162,162,-1.016597285350582,1.9154799057724754,0.63,1.43,0.38,1.51,0.93,3.2574476640176866,2.56,2.01
163,163,-1.0166071816420654,1.9143289985741316,0.63,1.43,0.38,1.51,0.93,3.2590758304195453,2.56,2.01
164,164,-1.016616909974801,1.9131875324926197,0.63,1.43,0.38,1.51,0.93,3.26068982010621,2.56,2.01
165,165,-1.0166264745046696,1.9120553584597644,0.63,1.43,0.38,1.51,0.93,3.2622898701156635,2.56,2.01
166,166,-1.0166358792513963,1.9109323307644892,0.63,1.43,0.38,1.51,0.93,3.263876211386153,2.56,2.01
167,167,-1.0166451281041058,1.909818306965058,0.63,1.43,0.38,1.51,0.93,3.2654490689732234,2.56,2.01
168,168,-1.0166542248266026,1.9087131478030617,0.63,1.43,0.38,1.51,0.93,3.2670086622566092,2.56,2.01
169,169,-1.016663173062395,1.9076167171192389,0.63,1.43,0.38,1.51,0.93,3.2685552051375795,2.56,2.01
170,170,-1.0166719763394823,1.9065288817711976,0.63,1.43,0.38,1.51,0.93,3.2700889062273086,2.56,2.01
171,171,-1.0166806380749098,1.9054495115530803,0.63,1.43,0.38,1.51,0.93,3.2716099690267955,2.56,2.01
172,172,-1.0166891615791174,1.9043784791172031,0.63,1.43,0.38,1.51,0.93,3.2731185920988106,2.56,2.01
173,173,-1.0166975500600697,1.9033156598976864,0.63,1.43,0.38,1.51,0.93,3.274614969232323,2.56,2.01
174,174,-1.0167058066272183,1.9022609320360728,0.63,1.43,0.38,1.51,0.93,3.2760992895998235,2.56,2.01
175,175,-1.0167139342952565,1.901214176308935,0.63,1.43,0.38,1.51,0.93,3.2775717379079325,2.56,2.01
176,176,-1.0167219359877202,1.9001752760574502,0.63,1.43,0.38,1.51,0.93,3.2790324945416547,2.56,2.01
177,177,-1.016729814540419,1.899144117118925,0.63,1.43,0.38,1.51,0.93,3.280481735702616,2.56,2.01
178,178,-1.016737572704712,1.8981205877602394,0.63,1.43,0.38,1.51,0.93,3.2819196335416,2.56,2.01
179,179,-1.016745213150639,1.8971045786131833,0.63,1.43,0.38,1.51,0.93,3.2833463562856755,2.56,2.01
180,180,-1.0167527384699138,1.8960959826116424,0.63,1.43,0.38,1.51,0.93,3.284762068360198,2.56,2.01
181,181,-1.0167601511787832,1.895094694930605,0.63,1.43,0.38,1.51,0.93,3.286166930505932,2.56,2.01
182,182,-1.0167674537207723,1.8941006129269418,0.63,1.43,0.38,1.51,0.93,3.2875610998915454,2.56,2.01
183,183,-1.016774648469284,1.8931136360819196,0.63,1.43,0.38,1.51,0.93,3.2889447302217025,2.56,2.01
184,184,-1.0167817377301236,1.8921336659454064,0.63,1.43,0.38,1.51,0.93,3.290317971840965,2.56,2.01
185,185,-1.016788723743882,1.8911606060817265,0.63,1.43,0.38,1.51,0.93,3.2916809718337063,2.56,2.01
186,186,-1.0167956086882388,1.8901943620171147,0.63,1.43,0.38,1.51,0.93,3.2930338741202267,2.56,2.01
187,187,-1.0168023946801636,1.8892348411887316,0.63,1.43,0.38,1.51,0.93,3.2943768195492473,2.56,2.01
188,188,-1.0168090837780164,1.888281952895198,0.63,1.43,0.38,1.51,0.93,3.2957099459869537,2.56,2.01
189,189,-1.0168156779835769,1.8873356082485946,0.63,1.43,0.38,1.51,0.93,3.297033388402743,2.56,2.01
190,190,-1.0168221792439724,1.8863957201278947,0.63,1.43,0.38,1.51,0.93,3.2983472789518316,2.56,2.01
191,191,-1.0168285894535425,1.8854622031337822,0.63,1.43,0.38,1.51,0.93,3.2996517470548556,2.56,2.01
192,192,-1.0168349104556185,1.8845349735448118,0.63,1.43,0.38,1.51,0.93,3.3009469194746095,2.56,2.01
193,193,-1.0168411440442338,1.8836139492748747,0.63,1.43,0.38,1.51,0.93,3.302232920390038,2.56,2.01
194,194,-1.016847291965766,1.8826990498319252,0.63,1.43,0.38,1.51,0.93,3.30350987146761,2.56,2.01
195,195,-1.0168533559205108,1.8817901962779326,0.63,1.43,0.38,1.51,0.93,3.304777891930186,2.56,2.01
196,196,-1.0168593375642034,1.8808873111900173,0.63,1.43,0.38,1.51,0.93,3.306037098623481,2.56,2.01
197,197,-1.016865238509459,1.8799903186227334,0.63,1.43,0.38,1.51,0.93,3.3072876060802368,2.56,2.01
